RSI,RSI_60,call_buy_count:1_mln,call_buy_count:300_k,call_buy_count:500_k,call_sell_count:1_mln,call_sell_count:300_k,call_sell_count:500_k,candle_pattern:15_min,candle_pattern:1_day,candle_pattern:60_min,change,close,elem_id,ma_rating,ma_rating:15_min,ma_rating:1_day,ma_rating:60_min,mom,mom:1_day,order_call_buy_otm_count_pct,order_call_sell_otm_count_pct,order_put_buy_otm_count_pct,order_put_sell_otm_count_pct,order_sweep_count_pct:long,order_sweep_count_pct:short,os_rating,os_rating:15_min,os_rating:1_day,os_rating:60_min,premium,premium_bs_diff,premium_bs_diff_percentage,premium_bs_diff_sentiment,price_earnings_ttm_1d,price_target:1_year,put_buy_count:1_mln,put_buy_count:300_k,put_buy_count:500_k,put_sell_count:1_mln,put_sell_count:300_k,put_sell_count:500_k,recommendation_mark,rsi:15_min,rsi:1_day,rsi:60_min,sector,symbol,tech_rating,tech_rating:15_min,tech_rating:1_day,tech_rating:60_min,volume_change:15_min,volume_change:1_day,volume_change:60_min
49.21,43.83000183105469,63,291,176,40,226,125,[],[],[],-1.409999966621399,115.12999725341797,pscrt1,-0.12999999523162842,-0.6700000166893005,-0.12999999523162842,-0.4000000059604645,Jul-13,7.130000114440918,47.0,53.0,53.0,48.0,34.0,29.0,0.18000000715255737,0.0,0.18000000715255737,0.0,681123798,38193000,May-61,54060802,54.054229736328125,149.49000549316406,10,51,23,13,47,29,1.1299999952316284,31.8799991607666,49.209999084472656,43.83000183105469,Electronic Technology,NVDA,0.019999999552965164,-0.33000001311302185,0.019999999552965164,-0.20000000298023224,47.15999984741211,-26.8799991607666,-57.869998931884766
64.42,66.33000183105469,9,29,19,5,15,9,[],[],[],0.800000011920929,434.7799987792969,pscrt1,0.800000011920929,0.27000001072883606,0.800000011920929,0.800000011920929,25.34,25.34000015258789,84.0,57.0,100.0,90.0,29.0,18.0,0.0,-0.09000000357627869,0.0,0.0,91799599,44404401,48.37,44581001,36.84231948852539,498.1700134277344,0,3,2,0,3,1,1.1299999952316284,51.43000030517578,64.41999816894531,66.33000183105469,Technology Services,MSFT,0.4000000059604645,0.09000000357627869,0.4000000059604645,0.4000000059604645,27.229999542236328,-4.619999885559082,-61.900001525878906
37.48,20.1299991607666,35,37,36,0,0,0,[],[],[],-2.309999942779541,50.5099983215332,pscrt1,-0.4000000059604645,-0.9300000071525574,-0.4000000059604645,-0.800000011920929,-3.56,-3.559999942779541,0.0,0.0,0.0,0.0,2.0,2.0,-0.18000000715255737,0.18000000715255737,-0.18000000715255737,0.0,83253200,83047600,99.75,83047600,8.711535453796387,51.04999923706055,0,0,0,0,0,0,1.8700000047683716,23.850000381469727,37.47999954223633,20.1299991607666,Consumer Non-Durables,MO,-0.28999999165534973,-0.3799999952316284,-0.28999999165534973,-0.4000000059604645,8.079999923706055,-42.93000030517578,-63.220001220703125
60.3,58.459999084472656,4,42,25,2,21,14,"[""LongShadow.Upper""]","[""LongShadow.Upper""]",[],1.090000033378601,186.89999389648438,pscrt1,0.800000011920929,-0.12999999523162842,0.800000011920929,0.800000011920929,Oct-65,10.649999618530273,26.0,39.0,59.0,73.0,30.0,32.0,0.18000000715255737,0.0,0.18000000715255737,0.09000000357627869,64798699,15872699,24-May,13068699,44.778263092041016,219.88999938964844,0,3,0,0,4,1,1.1100000143051147,49.33000183105469,60.29999923706055,58.459999084472656,Retail Trade,AMZN,0.49000000953674316,-0.07000000029802322,0.49000000953674316,0.44999998807907104,16.540000915527344,-32.68000030517578,-44.0
